0, 1.000000
1, 1.051855
2, 1.249406
3, 1.832763
4, 4.736391
5, 1185.760158
6, 2.139310
7, 1.003574
8, 1.361286
9, 4.252135
10, 296.775114
11, 2.243249
12, 1.016119
13, 1.308730
14, 4.415132
15, 132.149550
16, 2.187965
17, 1.018699
18, 1.308332
19, 4.759837
20, 74.532177
21, 2.097215
22, 1.016538
23, 1.326318
24, 5.231439
25, 47.865363
26, 2.000000
27, 1.012710
28, 1.354476
29, 5.831915
30, 33.381700
31, 1.905571
32, 1.008645
33, 1.390037
34, 6.584858
35, 24.650752
36, 1.817174
37, 1.005051
38, 1.431978
39, 7.531270
40, 18.986547
41, 1.735841
42, 1.002298
43, 1.479991
44, 8.733663
45, 15.106038
46, 1.661717
47, 1.000582
48, 1.534118
49, 10.286209
50, 12.333619
51, 1.594586
52, 1.000000
53, 1.594586
54, 12.333619
55, 10.286209
56, 1.534118
57, 1.000582
58, 1.661717
59, 15.106038
60, 8.733663
61, 1.479991
62, 1.002298
63, 1.735841
64, 18.986547
65, 7.531270
66, 1.431978
67, 1.005051
68, 1.817174
69, 24.650752
70, 6.584858
71, 1.390037
72, 1.008645
73, 1.905571
74, 33.381700
75, 5.831915
76, 1.354476
77, 1.012710
78, 2.000000
79, 47.865363
80, 5.231439
81, 1.326318
82, 1.016538
83, 2.097215
84, 74.532177
85, 4.759837
86, 1.308332
87, 1.018699
88, 2.187965
89, 132.149549
90, 4.415132
91, 1.308730
92, 1.016120
93, 2.243249
94, 296.775113
95, 4.252135
96, 1.361286
97, 1.003574
98, 2.139310
99, 1185.760155
100, 4.736392
101, 1.832763
102, 1.249406
103, 1.051855
